position,track,artist,featured_artists
134,I Wish It Could Be Christmas Everyday,Wizzard,N/A
137,Merry Xmas Everybody,Slade,N/A
73,Thank God It's Christmas,Queen,N/A
134,Jingle Bells,Michael Buble,The Puppini Sisters
53,Have Yourself A Merry Little Christmas,Frank Sinatra With The Ken Lane Singers / Axel Stordahl,N/A
171,The Little Drummer Boy,Bing Crosby,N/A
151,O Come All Ye Faithful,Nat King Cole,N/A
161,O Tannenbaum,Vince Guaraldi Trio,N/A
47,Carol Of The Bells,John Williams,N/A
182,This Christmas,Jess Glynne,N/A
179,White Christmas,Michael Buble Duet With Shania Twain,N/A
151,Joy To The World,Nat King Cole,N/A
197,The Christmas Song,Shawn Mendes & Camila Cabello,N/A
7,Good Days,SZA,N/A
93,Still Trappin',Lil Durk & King Von,N/A
11,Bandido,Myke Towers & Juhn,N/A
116,Slay3r,Playboi Carti,N/A
126,Modo Turbo,Luisa Sonza & Pabllo Vittar,Anitta
15,Goosebumps,Travis Scott & HVME,N/A
148,Backdoor,Lil Durk,N/A
121,"Bzrp Music Sessions, Vol. 36",Bizarrap & Nathy Peluso,N/A
150,Go2DaMoon,Playboi Carti,Kanye West
137,Adderall (Corvette Corvette),Popp Hunna,N/A
111,Kaikai Kitan,Eve,N/A
48,Dry Flower,Yuuri,N/A
190,Vamp Anthem,Playboi Carti,N/A
90,Love Not War (The Tampa Beat),Jason Derulo X Nuka,N/A
196,New N3on,Playboi Carti,N/A
3,Anyone,Justin Bieber,N/A
1,Save Your Tears,The Weeknd & Ariana Grande,N/A
113,Segue Sua Vida,Ze Neto & Cristiano,N/A
1,Heat Waves,Glass Animals,N/A
40,Yellow,Coldplay,N/A
138,Si Me Tomo Una Cerveza,Migrantes & Alico,N/A
92,Smells Like Teen Spirit,Nirvana,N/A
185,Moonwalking In Calabasas,DDG,N/A
119,Do I Wanna Know?,Arctic Monkeys,N/A
191,Angst,Apache 207,N/A
110,Take Me To Church,Hozier,N/A
1,Drivers License,Olivia Rodrigo,N/A
19,Wasted On You,Morgan Wallen,N/A
31,Best Friend,Saweetie,Doja Cat
47,Sand In My Boots,Morgan Wallen,N/A
65,Warning,Morgan Wallen,N/A
67,865,Morgan Wallen,N/A
91,Vibez,Zayn,N/A
100,Cover Me Up,Morgan Wallen,N/A
111,Neon Eyes,Morgan Wallen,N/A
116,Dangerous,Morgan Wallen,N/A
120,More Surprised Than Me,Morgan Wallen,N/A
119,All I Want,Olivia Rodrigo,N/A
8,Streets,Doja Cat,N/A
130,All We Got,Robin Schulz,KIDDO
150,Memories,David Guetta,Kid Cudi
160,Whiskey'd My Way,Morgan Wallen,N/A
161,Your Bartender,Morgan Wallen,N/A
167,Outlaw,Morgan Wallen,Ben Burgess
174,It's Time To Go,Taylor Swift,N/A
177,Wonderin' Bout The Wind,Morgan Wallen,N/A
178,Only Thing That's Gone,Morgan Wallen,Chris Stapleton
78,At My Worst,Pink Sweat$,Kehlani
185,Girl Like Me,Jazmine Sullivan,H.E.R.
95,Buss It,Erica Banks,N/A
19,Bad Boy,Juice WRLD & Young Thug,N/A
40,De Una Vez,Selena Gomez,N/A
87,Monster,YOASOBI,N/A
93,Masterpiece,DaBaby,N/A
29,Back In Blood,Pooh Shiesty,Lil Durk
150,Don't Play,Anne-Marie x KSI x Digital Farm Animals,N/A
151,Ohne Dich,KASIMIR1441 X badmomzjay X WILDBWOYS,N/A
154,Chemtrails Over The Country Club,Lana Del Rey,N/A
152,Fly Away,Tones And I,N/A
173,All Girls Are The Same,Juice WRLD,N/A
41,Usseewa,Ado,N/A
18,Lo Vas A Olvidar,Billie Eilish & ROSALIA,N/A
33,Skin,Sabrina Carpenter,N/A
47,Ropa Cara,Camilo,N/A
76,Antes,Anuel AA & Ozuna,N/A
88,Throat Baby (Go Baby),BRS Kash,N/A
92,Los Dioses,Anuel AA & Ozuna,N/A
3,Astronaut In The Ocean,Masked Wolf,N/A
16,Wellerman,Nathan Evans,N/A
137,Lifestyle,Jason Derulo,Adam Levine
177,Encore,YOASOBI,N/A
132,No Te Enamores,Milly X Farruko X Nio Garcia X Jay Wheeler X Amenazzy,N/A
186,Can You Feel My Heart,Bring Me The Horizon,N/A
189,Meia Noite (Voce Tem Meu WhatsApp),Tarcisio do Acordeon,N/A
193,Why'd You Only Call Me When You're High?,Arctic Monkeys,N/A
160,"Ele E Ele, Eu Sou Eu",Wesley Safadao e Os Baroes da Pisadinha,N/A
38,Beat Box,SpotemGottem,Pooh Shiesty Or DaBaby
22,Baila Conmigo,Selena Gomez With Rauw Alejandro,N/A
56,Finesse Out The Gang Way,Lil Durk,Lil Baby
78,Celebrity,IU,N/A
101,Should've Ducked,Lil Durk,Pooh Shiesty
103,Gravity,Brent Faiyaz & DJ Dahi,"Tyler, The Creator"
167,You,"benny blanco, Marshmello & Vance Joy",N/A
32,My Head And My Heart,Ava Max,N/A
152,Esquema Preferido,DJ Ivis,Tarcisio do Acordeon
145,Good Time,Niko Moon,N/A
165,Hasta Abajo,"Kevin Roldan, Bryant Myers & Lyanno",N/A
97,No Role Modelz,J. Cole,N/A
36,Arcade,Duncan Laurence,N/A
4,Up,Cardi B,N/A
44,The Hills,The Weeknd,N/A
34,Starboy,The Weeknd,Daft Punk
70,Time Today,Moneybagg Yo,N/A
75,I Feel It Coming,The Weeknd,Daft Punk
81,Can't Feel My Face,The Weeknd,N/A
96,Provide,G-Eazy,Chris Brown & Mark Morrison
109,GNF (OKOKOK),Polo G,N/A
113,Earned It (Fifty Shades Of Grey),The Weeknd,N/A
120,Neighbors,Pooh Shiesty,BIG30
105,Glad You Exist,Dan + Shay,N/A
37,Your Love (9PM),ATB x Topic x A7S,N/A
97,Call Out My Name,The Weeknd,N/A
185,Heartless,The Weeknd,N/A
141,Somebody That I Used To Know,Gotye,Kimbra
141,Stressed Out,Twenty One Pilots,N/A
2,Calling My Phone,Lil Tjay,6LACK
7,Love Story (Taylor's Version),Taylor Swift,N/A
21,We're Good,Dua Lipa,N/A
63,Location,"Karol G, Anuel AA & J Balvin",N/A
10,Heartbreak Anniversary,Giveon,N/A
99,What It Feels Like,Nipsey Hussle & JAY-Z,N/A
49,Cover Me In Sunshine,P!nk + Willow Sage Hart,N/A
39,Ella No Es Tuya,Rochy RD X Myke Towers X Nicki Nicole,N/A
159,Facas,Diego & Victor Hugo E Bruno & Marrone,N/A
69,Just The Way You Are,Bruno Mars,N/A
186,Photograph,Ed Sheeran,N/A
188,Saiyaan Ji,Yo Yo Honey Singh,Neha Kakkar
192,A Thousand Years,Christina Perri,N/A
10,Telepatia,Kali Uchis,N/A
35,Test Drive,Ariana Grande,N/A
64,Clouds,NF,N/A
70,No More Parties,Coi Leray,Lil Durk
18,Friday,Riton X Nightcrawlers,Mufasa & Hypeman
89,Wasurena,Awesome City Club,N/A
94,Tapao Na Raba,Rai Saia Rodada,N/A
92,Get Lucky,Daft Punk,Pharrell Williams
144,ZaZa,6ix9ine,N/A
156,Chicken Tendies,Clinton Kane,N/A
164,One More Time,Daft Punk,N/A
109,Billie Jean,Michael Jackson,N/A
186,Hit Bout It,Lil Yachty,Kodak Black
195,Madonna,Bausa & Apache 207,N/A
59,AP,Pop Smoke,N/A
83,Only Wanna Be With You,Post Malone,N/A
131,#Problema,Daddy Yankee,N/A
126,SugarCrash!,ElyOtto,N/A
47,Lut Gaye,Jubin Nautiyal,Emraan Hashmi
124,Girls Like Us,Zoe Wees,N/A
125,What Other People Say,Sam Fischer & Demi Lovato,N/A
96,The Good Ones,Gabby Barrett,N/A
43,911,Sech & Jhay Cortez,N/A
1,What's Next,Drake,N/A
2,Wants And Needs,Drake,Lil Baby
2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
4,Lemon Pepper Freestyle,Drake,Rick Ross
4,Hold On,Justin Bieber,N/A
54,Real As It Gets,Lil Baby,EST Gee
40,One Last Kiss,Hikaru Utada,N/A
72,Selfish Love,DJ Snake & Selena Gomez,N/A
24,Beautiful Mistakes,Maroon 5,Megan Thee Stallion
98,Ademas de Mi,Rusherking X Tiago pzk X KHEA X Duki X Maria Becerra X Lit killah,N/A
117,Machu Picchu,Camilo y Evaluna Montaner,N/A
95,Track Star,Mooski,N/A
181,Mona Lisa,Booba,JSX
156,Another One Bites The Dust,Queen,N/A
48,Bed,Joel Corry X RAYE X David Guetta,N/A
1,On The Ground,ROSE,N/A
29,Gone,ROSE,N/A
66,Follow You,Imagine Dragons,N/A
34,Street Runner,Rod Wave,N/A
57,Batom de Cereja,Israel & Rodolffo,N/A
100,Travesuras,Nio Garcia X Casper Magico X Ozuna X Wisin X Yandel X Myke Towers X Flow La Movie,N/A
102,Patience,KSI,YUNGBLUD & Polo G
118,Cupid's Chokehold/Breakfast In America,Gym Class Heroes,Patrick Stump
13,Fiel,"Los Legendarios, Wisin & Jhay Cortez",N/A
137,Lost,NF,Hopsin
132,Big Gangsta,Kevin Gates,N/A
170,Daywalker!,Machine Gun Kelly & CORPSE,N/A
171,"Bzrp Music Sessions, Vol. 38",Bizarrap & L-Gante,N/A
1,Peaches,Justin Bieber,Daniel Caesar & Giveon
13,As I Am,Justin Bieber,Khalid
28,Unstable,Justin Bieber,The Kid LAROI
34,Off My Face,Justin Bieber,N/A
39,2 Much,Justin Bieber,N/A
16,Ghost,Justin Bieber,N/A
42,Headshot,"Lil Tjay, Polo G & Fivio Foreign",N/A
43,Deserve You,Justin Bieber,N/A
51,Loved By You,Justin Bieber,Burna Boy
57,Die For You,Justin Bieber,Dominic Fike
58,Love You Different,Justin Bieber,BEAM
74,Somebody,Justin Bieber,N/A
144,White Dress,Lana Del Rey,N/A
189,Tu Veneno,J Balvin,N/A
1,Montero (Call Me By Your Name),Lil Nas X,N/A
26,Tombstone,Rod Wave,N/A
35,You All Over Me (Taylor's Version) (From The Vault),Taylor Swift,Maren Morris
43,Richer,Rod Wave,Polo G
76,Hard For The Next,Moneybagg Yo & Future,N/A
39,El Makinon,Karol G & Mariah Angeliq,N/A
103,Soulfly,Rod Wave,N/A
116,Gone Till November,Rod Wave,N/A
50,Dancing With The Devil,Demi Lovato,N/A
129,Don't Forget,Rod Wave,N/A
132,Blame On You,Rod Wave,N/A
57,Talking To The Moon,Bruno Mars,N/A
142,Big Purr (Prrdd),Coi Leray & Pooh Shiesty,N/A
179,All I Got,Rod Wave,N/A
91,Take A Picture,NiziU,N/A
5,Film Out,BTS,N/A
3,Deja Vu,Olivia Rodrigo,N/A
29,Met Him Last Night,Demi Lovato,Ariana Grande
51,Run It Up,Lil Tjay,Offset & Moneybagg Yo
110,4 Da Gang,42 Dugg & Roddy Ricch,N/A
19,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,N/A
22,Runaway,AURORA,N/A
92,Mr. Brightside,The Killers,N/A
133,Uptown Funk!,Mark Ronson,Bruno Mars
193,Cloud 9,Beach Bunny,N/A
3,Rapstar,Polo G,N/A
3,Kiss Me More,Doja Cat,SZA
27,Ruff Ryders' Anthem,DMX,N/A
32,X Gon' Give It To Ya,DMX,N/A
41,Forever & Always (Taylor's Version),Taylor Swift,N/A
51,You Belong With Me (Taylor's Version),Taylor Swift,N/A
52,Party Up (Up In Here),DMX,N/A
53,Fearless (Taylor's Version),Taylor Swift,N/A
72,Otra Noche Sin Ti,J Balvin & Khalid,N/A
73,Shy Away,Twenty One Pilots,N/A
84,Fifteen (Taylor's Version),Taylor Swift,N/A
93,The Way I Loved You (Taylor's Version),Taylor Swift,N/A
105,Hey Stephen (Taylor's Version),Taylor Swift,N/A
111,White Horse (Taylor's Version),Taylor Swift,N/A
129,Slippin',DMX,N/A
130,That's When (Taylor's Version) (From The Vault),Taylor Swift,Keith Urban
133,Breathe (Taylor's Version),Taylor Swift,Colbie Caillat
14,Another Love,Tom Odell,N/A
136,Where The Hood At,DMX,N/A
10,AM,Nio Garcia X J Balvin X Bad Bunny,N/A
153,Anywhere Away From Here,Rag'n'Bone Man & P!nk,N/A
165,You're Not Sorry (Taylor's Version),Taylor Swift,N/A
171,Tell Me Why (Taylor's Version),Taylor Swift,N/A
174,Slumber Party,Ashnikko,Princess Nokia
11,Solid,Young Thug & Gunna,Drake
23,Ski,Young Thug & Gunna,N/A
35,Diamonds Dancing,Young Thug & Gunna,Travis Scott
47,Renegades,ONE OK ROCK,N/A
65,Proud Of You,Young Thug,Lil Uzi Vert & Yung Kayo
87,Came And Saw,Young Thug,Rowdy Rebel
104,Paid The Fine,Young Thug & Gunna,Lil Baby & YTB Trench
113,You,Regard x Troye Sivan x Tate McRae,N/A
65,"Volta Bebe, Volta Nenem",DJ Guuga E DJ Ivis,N/A
154,Slatty,Young Thug & Gunna,Yak Gotti & Lil Duke
16,Pareja del Ano,Sebastian Yatra X Myke Towers,N/A
120,Hell Of A View,Eric Church,N/A
175,Liberdade (Quando O Grave Bate Forte),"Alok, MC Don Juan E DJ GBR",N/A
95,Wake Me Up!,Avicii,N/A
170,Cheap Thrills,Sia,Sean Paul
9,Botella Tras Botella,Gera MX + Christian Nodal,N/A
54,Shottas (Lala),Moneybagg Yo,N/A
74,Come Through,H.E.R.,Chris Brown
91,Go!,Moneybagg Yo,BIG30
58,Wockesha,Moneybagg Yo,N/A
119,If Pain Was A Person,Moneybagg Yo,N/A
171,Free Promo,Moneybagg Yo,Polo G & Lil Durk
25,Lose Yourself,Eminem,N/A
169,Wasted Love,Ofenbach,Lagique
69,Rasputin,Majestic X Boney M.,N/A
11,Body,Tion Wayne X Russ Millions,"ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo"
199,Just Say Det,Moneybagg Yo,N/A
53,Riptide,Vance Joy,N/A
6,Your Power,Billie Eilish,N/A
27,Every Chance I Get,DJ Khaled,Lil Baby & Lil Durk
33,I Did It,DJ Khaled,"Post Malone, Megan Thee Stallion, Lil Baby & DaBaby"
34,In The Morning,iTZY,N/A
48,Sorry Not Sorry,DJ Khaled,"Nas, JAY-Z & James Fauntleroy"
49,Let It Go,DJ Khaled,Justin Bieber & 21 Savage
77,Durag Activity,Baby Keem & Travis Scott,N/A
96,Body In Motion,DJ Khaled,"Bryson Tiller, Lil Baby & Roddy Ricch"
104,Ramen & OJ,Joyner Lucas & Lil Baby,N/A
115,Love Race,Machine Gun Kelly,Kellin Quinn
122,Odo,Ado,N/A
125,Confetti,Little Mix,Saweetie
65,Mienteme,TINI X Maria Becerra,N/A
149,Choker,Twenty One Pilots,N/A
156,Big Paper,DJ Khaled,Cardi B
159,Thankful,DJ Khaled,Lil Wayne & Jeremih
94,Dick,StarBoi3 + Doja Cat,N/A
164,Girl From Rio,Anitta,N/A
123,Little Bit Of Love,Tom Grennan,N/A
177,We Going Crazy,DJ Khaled,H.E.R. & Migos
76,Lil Bit,Nelly & Florida Georgia Line,N/A
8,interlude,J. Cole,N/A
13,Miss The Rage,Trippie Redd & Playboi Carti,N/A
24,Higher Power,Coldplay,N/A
58,Never Left,Lil Tecca,N/A
65,All I Know So Far,P!nk,N/A
96,Hot Sauce,NCT DREAM,N/A
98,Bipolar,"MC Don Juan, MC Davi & MC Pedrinho",N/A
114,Cry Baby,Official HIGE DANdism,N/A
123,What You Need,Don Toliver,N/A
103,Mou Sukoshi Dake,YOASOBI,N/A
135,Kirari,Fujii Kaze,N/A
67,Run,OneRepublic,N/A
21,Gangsta's Paradise,Coolio,L.V.
43,2/Catorce,Rauw Alejandro X Mr. Naisgai,N/A
46,Every Breath You Take,The Police,N/A
1,Good 4 U,Olivia Rodrigo,N/A
4,my.life,"J. Cole, 21 Savage & Morray",N/A
8,amari,J. Cole,N/A
9,pride.is.the.devil,J. Cole & Lil Baby,N/A
11,95.south,J. Cole,N/A
14,applying.pressure,J. Cole,N/A
16,100.mil',J. Cole & Bas,N/A
17,let.go.my.hand,"J. Cole, Bas & 6LACK",N/A
18,Seeing Green,"Nicki Minaj, Drake & Lil Wayne",N/A
20,punchin'.the.clock,J. Cole,N/A
20,Build A Bitch,Bella Poarch,N/A
26,the.climb.back,J. Cole,N/A
29,hunger.on.hillside,J. Cole & Bas,N/A
34,close,J. Cole,N/A
42,Straightenin,Migos,N/A
71,Fractions,Nicki Minaj,N/A
74,His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert",Gunna
86,Poblado,Crissin X Totoy El Frio X Natan & Shander,N/A
65,Next Level,aespa,N/A
120,Electric,Katy Perry,N/A
150,Itty Bitty Piggy,Nicki Minaj,N/A
156,Tipo Gin (Ao Vivo),MC Kevin O Chris,N/A
177,Breaking Up Was Easy In The 90's,Sam Hunt,N/A
180,Best I Ever Had,Drake,N/A
182,Crocodile Teeth,Nicki Minaj & Skillibeng,N/A
52,Ram Pam Pam,Natti Natasha & Becky G,N/A
195,La Mama de La Mama,El Alfa x CJ x Chael Produciendo,El Cherry Scom
1,Butter,BTS,N/A
7,Traitor,Olivia Rodrigo,N/A
11,Brutal,Olivia Rodrigo,N/A
13,Enough For You,Olivia Rodrigo,N/A
14,Happier,Olivia Rodrigo,N/A
14,Favorite Crime,Olivia Rodrigo,N/A
17,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,N/A
19,"Jealousy, Jealousy",Olivia Rodrigo,N/A
22,Hope Ur OK,Olivia Rodrigo,N/A
22,Zitti E Buoni,Maneskin,N/A
3,Todo de Ti,Rauw Alejandro,N/A
44,Gang Gang,Polo G & Lil Wayne,N/A
47,Sun Goes Down,Lil Nas X,N/A
82,Twerkulator,City Girls,N/A
52,Heartbreak Anthem,"Galantis, David Guetta & Little Mix",N/A
93,Our Song,Anne-Marie & Niall Horan,N/A
142,Maybach,42 Dugg,Future
13,I Wanna Be Your Slave,Maneskin,N/A
82,Sal y Perrea,"Sech, Daddy Yankee & J Balvin",N/A
148,Voila,Barbara Pravi,N/A
40,Leave Before You Love Me,Marshmello X Jonas Brothers,N/A
158,Shum,Go_A,N/A
159,Saturday,Twenty One Pilots,N/A
163,24 Hours,A Boogie Wit da Hoodie,Lil Durk
169,Malibu,Sangiovanni,N/A
138,512,Mora & Jhay Cortez,N/A
87,Phantom Thief,back number,N/A
67,Killer,Eminem,Jack Harlow & Cordae
17,Que Mas Pues?,J Balvin & Maria Becerra,N/A
91,Tell Em,Cochise & $NOT,N/A
15,Lost Cause,Billie Eilish,N/A
52,Pale Blue,Kenshi Yonezu,N/A
143,100 Millones,Bad Bunny & Luar La L,N/A
167,0X1=Lovesong (I Know I Love You),TOMORROW X TOGETHER,Seori
176,Broken Heart Of Gold,ONE OK ROCK,N/A
80,Jalebi Baby,Tesher X Jason Derulo,N/A
188,734,Juice WRLD,N/A
3,Yonaguni,Bad Bunny,N/A
23,Hats Off,"Lil Baby, Lil Durk & Travis Scott",N/A
27,Late At Night,Roddy Ricch,N/A
35,Voice Of The Heroes,Lil Baby & Lil Durk,N/A
50,2040,Lil Baby & Lil Durk,N/A
56,Who I Want,Lil Baby & Lil Durk,N/A
59,How It Feels,Lil Baby & Lil Durk,N/A
60,Still Runnin,"Lil Baby, Lil Durk & Meek Mill",N/A
64,Don't Fight The Feeling,EXO,N/A
82,Still Hood,Lil Baby & Lil Durk,N/A
70,By Your Side,Calvin Harris,Tom Grennan
93,Man Of My Word,Lil Baby & Lil Durk,N/A
96,Okay,Lil Baby & Lil Durk,N/A
103,Last Train Home,John Mayer,N/A
3,Beggin',Maneskin,N/A
107,Medical,Lil Baby & Lil Durk,N/A
117,Lying,Lil Baby & Lil Durk,N/A
118,Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",N/A
122,That's Facts,Lil Baby & Lil Durk,N/A
128,Up The Side,"Lil Baby, Lil Durk & Young Thug",N/A
84,transparentsoul,Willow,Travis Barker
138,Please,Lil Baby & Lil Durk,N/A
68,Iko Iko (My Bestie),Justin Wellington,Small Jam
59,Love Again,Dua Lipa,N/A
41,Alcohol-Free,TWICE,N/A
121,Petrouchka,Soso Maness,PLK
192,If You Want To,Lil Baby & Lil Durk,N/A
197,Snowflakes,Tom MacDonald,N/A
17,Having Our Way,Migos,Drake
26,Solar Power,Lorde,N/A
27,THOT SHIT,Megan Thee Stallion,N/A
6,Need To Know,Doja Cat,N/A
38,No Return,Polo G,The Kid LAROI & Lil Durk
40,Avalanche,Migos,N/A
65,Black Hearted,Polo G,N/A
72,Modern Day,Migos,N/A
73,Malibu,Migos,Polo G
78,Painting Pictures,Polo G,N/A
81,Lost,Maroon 5,N/A
46,Dinero,Trinidad Cardona,N/A
90,Toxic,Polo G,N/A
104,Type Shit,Migos & Cardi B,N/A
109,Clueless,Polo G,Pop Smoke & Fivio Foreign
126,Party Lyfe,Polo G,DaBaby
129,Picasso,Migos & Future,N/A
132,Vaccine,Migos,N/A
140,Antisocial,Migos,Juice WRLD
143,Heart Of A Giant,Polo G,Rod Wave
147,Boom,Polo G,N/A
150,Light It Up,Migos,Pop Smoke
158,Go Part 1,Polo G,G Herbo
162,"Bzrp Music Sessions, Vol. 40",Bizarrap & Eladio Carrion,N/A
170,So Real,Polo G,N/A
176,Bloody Canvas,Polo G,N/A
179,For The Love Of New York,Polo G & Nicki Minaj,N/A
180,Birthday,Migos,N/A
200,Broken Guitars,Polo G,Scorey
47,Poblado (Remix),J Balvin x Karol G x Nicky Jam,Crissin x Totoy El Frio x Natan & Shander
60,Ball If I Want To,DaBaby,N/A
79,Holiday,KSI,N/A
105,Ramenez La Coupe A La Maison,Vegedream,N/A
40,Lumberjack,"Tyler, The Creator",N/A
25,Fancy Like,Walker Hayes,N/A
147,We Are The People,Martin Garrix,Bono & The Edge
146,Famous Friends,Chris Young + Kane Brown,N/A
163,Working,Tate McRae X Khalid,N/A
136,Freaks,Surf Curse,N/A
177,Mille,"Fedez, Achille Lauro & Orietta Berti",N/A
188,Ready To Love,SEVENTEEN,N/A
152,Baby Me Atende,Matheus Fernandes E Dilsinho,N/A
1,Bad Habits,Ed Sheeran,N/A
12,You Right,Doja Cat & The Weeknd,N/A
19,WUSYANAME,"Tyler, The Creator",YoungBoy Never Broke Again & Ty Dolla $ign
24,Ain't Shit,Doja Cat,N/A
38,Juggernaut,"Tyler, The Creator",Lil Uzi Vert & Pharrell Williams
41,Lemonhead,"Tyler, The Creator",42 Dugg
44,I Don't Do Drugs,Doja Cat,Ariana Grande
46,Hot Wind Blows,"Tyler, The Creator",Lil Wayne
54,Corso,"Tyler, The Creator",N/A
60,Sir Baudelaire,"Tyler, The Creator",DJ Drama
62,Sweet / I Thought You Wanted To Dance,"Tyler, The Creator",Brent Faiyaz & Fana Hues
72,Massa,"Tyler, The Creator",N/A
74,Red Light Green Light,DaBaby,N/A
77,RunItUp,"Tyler, The Creator",Teezo Touchdown
11,Woman,Doja Cat,N/A
109,Manifesto,"Tyler, The Creator",Domo Genesis
41,Get Into It (Yuh),Doja Cat,N/A
131,Wilshire,"Tyler, The Creator",N/A
139,Been Like This,Doja Cat,N/A
145,Rise!,"Tyler, The Creator",Daisy World
147,Sommergewitter,PASHANIM,N/A
148,Shinigami,Kenshi Yonezu,N/A
150,Naked,Doja Cat,N/A
136,2:50,DuKi x TINI x MYA,N/A
163,Payday,Doja Cat,Young Thug
119,All Eyes On Me,Bo Burnham,N/A
20,Love Tonight,Shouse,N/A
185,Options,Doja Cat,JID
186,Love To Dream,Doja Cat,N/A
138,Paani Paani,Badshah & Aastha Gill,N/A
26,"Bzrp Music Sessions, Vol. 41",Bizarrap & Nicky Jam,N/A
31,RGB,YOASOBI,N/A
51,Am I The Only One,Aaron Lewis,N/A
53,Wasting Time,Brent Faiyaz,Drake
90,Wrecked,Imagine Dragons,N/A
96,Renegade,Big Red Machine,Taylor Swift
74,Meu Pedaco de Pecado,Joao Gomes,N/A
39,In Da Getto,J Balvin & Skrillex,N/A
63,Tiroteo,Marc Segui & Pol Granch & Rauw Alejandro,N/A
59,De Museo,Bad Bunny,N/A
166,"Nao, Nao Vou",Mari Fernandez,N/A
111,Party In The U.S.A.,Miley Cyrus,N/A
142,3 Lions,"Baddiel, Skinner & The Lightning Seeds",N/A
184,No Me Conocen,"Rei, Duki, Bandido & Tiago pzk",N/A
128,Filhaal 2: Mohabbat,B-Praak,N/A
1,Permission To Dance,BTS,N/A
1,Stay,The Kid LAROI & Justin Bieber,N/A
13,Motley Crew,Post Malone,N/A
20,NDA,Billie Eilish,N/A
27,Volando,"Mora, Bad Bunny & Sech",N/A
32,Whole Lotta Money,BIA,Nicki Minaj
69,Memory,Kane Brown X blackbear,N/A
52,Sobrio,Maluma,N/A
122,The Jackie,Bas With J. Cole & Lil TJay,N/A
28,Essence,Wizkid,Justin Bieber & Tems
106,Clash,Dave & Stormzy,N/A
93,Loco,"Justin Quiles, Chimbala X Zion & Lennox",N/A
193,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,N/A
27,Wild Side,Normani,Cardi B
33,Tell The Vision,Pop Smoke,Kanye West & Pusha T
46,Bout A Million,Pop Smoke,21 Savage & 42 Dugg
49,Woo Baby,Pop Smoke,Chris Brown
62,Demeanor,Pop Smoke,Dua Lipa
69,More Time,Pop Smoke,N/A
70,Mr. Jones,Pop Smoke,Future
72,Holy Smokes,Trippie Redd,Lil Uzi Vert
79,Manslaughter,Pop Smoke,Rick Ross & The-Dream
7,Pepas,Farruko,N/A
98,U,millennium parade & Belle,N/A
105,KESI,Camilo & Shawn Mendes,N/A
112,Brush Em,Pop Smoke,Rah Swish
123,30,Pop Smoke,Bizzy Banks
128,Coupe,Pop Smoke,N/A
130,Genius,"Pop Smoke, Lil Tjay & Swae Lee",N/A
41,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",N/A
37,2055,Sleepy Hallow,N/A
169,What's Crackin,Pop Smoke,Takeoff
180,Top Shotta,Pop Smoke & The Neptunes,"Pusha T, TRAVI & Beam"
156,Se For Amor,Joao Gomes E Vitor Fernandes,N/A
197,Beat The Speaker,Pop Smoke,N/A
141,Bezos I,Bo Burnham,N/A
2,Industry Baby,Lil Nas X & Jack Harlow,N/A
28,Don't Go Yet,Camila Cabello,N/A
31,Not Sober,The Kid LAROI,Polo G & Stunna Gambino
44,If I Didn't Love You,Jason Aldean & Carrie Underwood,N/A
53,Over The Top,Smiley,Drake
79,Better Believe,"Belly, The Weeknd & Young Thug",N/A
120,New Normal,Khalid,N/A
121,Blaues Licht,RAF Camora & Bonez MC,N/A
124,Kiss My (Uh-Oh),Anne-Marie & Little Mix,N/A
118,Chasing After You,Ryan Hurd With Maren Morris,N/A
154,Still Chose You,The Kid LAROI,Mustard
158,Aquelas Coisas,Joao Gomes,N/A
140,Fulanito,Becky G & El Alfa,N/A
89,Remember,Becky Hill & David Guetta,N/A
63,Paris,Ingratax,N/A
86,A-O-K,Tai Verdes,N/A
168,The Nights,Avicii,N/A
6,Happier Than Ever,Billie Eilish,N/A
18,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
11,Volvi,Aventura x Bad Bunny,N/A
35,Getting Older,Billie Eilish,N/A
39,Oxytocin,Billie Eilish,N/A
41,Billie Bossa Nova,Billie Eilish,N/A
45,I Didn't Change My Number,Billie Eilish,N/A
63,Halley's Comet,Billie Eilish,N/A
78,Goldwing,Billie Eilish,N/A
81,Male Fantasy,Billie Eilish,N/A
98,Overheated,Billie Eilish,N/A
111,Everybody Dies,Billie Eilish,N/A
125,Not My Responsibility,Billie Eilish,N/A
181,YaMeFui,Bizarrap x Duki x Nicki Nicole,N/A
5,Take My Breath,The Weeknd,N/A
74,Lose,KSI x Lil Wayne,N/A
81,SUVs (Black On Black),Jack Harlow & Pooh Shiesty,N/A
120,i hope ur miserable until ur dead,Nessa Barrett,N/A
125,Repeat It,Lil Tecca & Gunna,N/A
71,Curame,Rauw Alejandro,N/A
159,EPMD 2,Nas,Eminem & EPMD
175,Better,Khalid,N/A
