position,track,artist,featured_artists
132,Oh Juliana,Niack,N/A
133,Exile,Taylor Swift,Bon Iver
44,Gunjou,YOASOBI,N/A
135,Do It,Chloe X Halle,N/A
67,Mad At Disney,Salem Ilese,N/A
131,Naked Heart,aimyon,N/A
138,Girls Like You,Maroon 5,Cardi B
137,The Bones,Maren Morris,N/A
94,One Of Them Girls,Lee Brice,N/A
100,Closer,The Chainsmokers,Halsey
124,Godzilla,Eminem,Juice WRLD
97,All Of Me,John Legend,N/A
144,Some Say,NEA,N/A
145,Lean,Super Yei,"Towy X Osquel X Beltito, Saammy & Falsetto"
146,Chicago Freestyle,Drake,Giveon
147,Roxanne,Arizona Zervas,N/A
148,Why Would I Stop?,Big Sean,N/A
149,Fuckst Mich Nur Ab,Bonez MC,N/A
63,Don't Stop Believin',Journey,N/A
135,Without Me,Halsey,N/A
144,Dollaz On My Head,Gunna,Young Thug
79,Yo Perreo Sola,Bad Bunny,N/A
106,Heartless,Diplo Presents Thomas Wesley,Morgan Wallen
155,Blastoff,Internet Money,Juice WRLD & Trippie Redd
156,Rockstar,Post Malone,21 Savage
157,Dream Girl,Ir-Sais x Rauw Alejandro,N/A
96,Say You Won't Let Go,James Arthur,N/A
159,Sigues Con El,Arcangel x Sech,N/A
160,Body Language,Big Sean,Ty Dolla $ign & Jhene Aiko
126,7 Rings,Ariana Grande,N/A
162,Die From A Broken Heart,Maddie & Tae,N/A
132,Falling,Harry Styles,N/A
159,Happier,Marshmello & Bastille,N/A
165,ADMV,Maluma,N/A
166,Azul,J Balvin,N/A
167,Chasin' You,Morgan Wallen,N/A
54,Despeinada,Ozuna x Camilo,N/A
49,Parce,Maluma,Lenny Tavarez & Justin Quiles
132,Hotel California,Eagles,N/A
11,What You Know Bout Love,Pop Smoke,N/A
82,Something Just Like This,The Chainsmokers & Coldplay,N/A
173,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,N/A
99,Tick Tock,Clean Bandit & Mabel,24kGoldn
150,Thunder,Imagine Dragons,N/A
176,Hot Girl Bummer,blackbear,N/A
177,Lose Somebody,Kygo & OneRepublic,N/A
146,Ocean Eyes,Billie Eilish,N/A
179,Harder Than My Demons,Big Sean,N/A
46,Said Sum,Moneybagg Yo,N/A
103,Thinking Out Loud,Ed Sheeran,N/A
182,Something Special,Pop Smoke,N/A
183,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",N/A
61,More Than My Hometown,Morgan Wallen,N/A
42,Money Trees,Kendrick Lamar,Jay Rock
175,Kousui,Eito,N/A
187,Like That,Doja Cat,Gucci Mane
57,Sweet Child O' Mine,Guns N' Roses,N/A
104,Got What I Got,Jason Aldean,N/A
80,You Got It,VEDO,N/A
169,Let Her Go,Passenger,N/A
129,Make You Happy,NiziU,N/A
175,Tennessee Whiskey,Chris Stapleton,N/A
151,Boy With Luv,BTS,Halsey
183,July,Noah Cyrus & Leon Bridges,N/A
191,Beautiful People,Ed Sheeran,Khalid
173,I'm Yours,Jason Mraz,N/A
198,Boss Bitch,Doja Cat,N/A
190,High Hopes,Panic! At The Disco,N/A
200,Favorito,Camilo,N/A
32,OK Not To Be OK,Marshmello & Demi Lovato,N/A
52,My Window,YoungBoy Never Broke Again,Lil Wayne
73,Drug Addiction,YoungBoy Never Broke Again,N/A
87,Kacey Talk,YoungBoy Never Broke Again,N/A
74,Una Locura,"Ozuna, J Balvin & Chencho Corleone",N/A
101,Don Don,"Daddy Yankee, Anuel AA & Kendo Kaponi",N/A
106,Let's Love,David Guetta & Sia,N/A
115,All In,YoungBoy Never Broke Again,N/A
37,Put Your Records On,Ritt Momney,N/A
133,Cross Roads,YoungBoy Never Broke Again,N/A
24,La Toxica,Farruko,N/A
138,Gone Too Soon,Andrew Jannakos,N/A
141,The Last Backyard...,YoungBoy Never Broke Again,N/A
154,Dead Trollz,YoungBoy Never Broke Again,N/A
174,Lovin' On You,Luke Combs,N/A
186,Right Foot Creep,YoungBoy Never Broke Again,N/A
69,Daisy,Ashnikko,N/A
84,Bang!,AJR,N/A
194,Whiskey Glasses,Morgan Wallen,N/A
3,Holy,Justin Bieber,Chance The Rapper
32,Diamonds,Sam Smith,N/A
37,Me Gusta,Anitta,Cardi B & Myke Towers
51,Whenever You Call,ARASHI,N/A
55,One Too Many,Keith Urban Duet With P!nk,N/A
44,Se Te Nota,Lele Pons X Guaynaa,N/A
